date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:19	96130/96130	---M--	200	added ('OK')	application/pdf	etag:%220ee8d54d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m162.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m162.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:20	100709/100709	---M--	200	added ('OK')	application/pdf	etag:%220ee8d54d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m163.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m163.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:20	90151/90151	---M--	200	added ('OK')	application/pdf	etag:%220618279d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m164.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m164.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:21	90065/90065	---M--	200	added ('OK')	application/pdf	etag:%220618279d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m165.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m165.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:22	92103/92103	---M--	200	added ('OK')	application/pdf	etag:%220618279d5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m166.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m166.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:23	111502/111502	---M--	200	added ('OK')	application/pdf	etag:%2208eb37ad5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m167.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m167.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:23	84497/84497	---M--	200	added ('OK')	application/pdf	etag:%2208eb37ad5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m168.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m168.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:24	93405/93405	---M--	200	added ('OK')	application/pdf	etag:%220bbe47bd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m169.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m169.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:25	91755/91755	---M--	200	added ('OK')	application/pdf	etag:%220bbe47bd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m170.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m170.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
02:35:26	94093/94093	---M--	200	added ('OK')	application/pdf	etag:%220e8157dd5ebda1:0%22	https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m171.pdf	C:/My%20Web%20Sites/mnn/tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/Pages/m171.pdf	(from https://tansik.digital.gov.eg/application/Certificates/Thanwy/Dalel/index2.aspx)
